commit	val_score	triggers	status	description
ab77bfc	0.300538	5000	keep	E=E036/pc_first_signal_immediate_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=4.5s
cf0d4ee	0.264386	5000	discard	E=E037/pc_first_signal_immediate_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.3s
cf0d4ee	0.300538	5000	discard	E=E038/pc_first_signal_30s_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.300538	5000	discard	E=E039/pc_first_signal_1m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.300538	5000	discard	E=E040/pc_first_signal_3m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.3s
cf0d4ee	0.300538	5000	discard	E=E041/pc_second_signal_cont_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.3s
cf0d4ee	0.264386	5000	discard	E=E042/pc_second_signal_cont_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.264386	5000	discard	E=E043/pc_second_signal_reversal_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.264386	5000	discard	E=E044/pc_third_plus_overheat_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.264386	5000	discard	E=E045/pc_third_plus_high_vol_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.2s
cf0d4ee	0.300538	5000	discard	E=E046/pc_burst_seq_4plus_avoid X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.3s
cf0d4ee	0.300538	5000	discard	E=E047/pc_pretrend_aligned_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.5s
cf0d4ee	0.264386	5000	discard	E=E048/pc_pretrend_aligned_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.5s
cf0d4ee	0.300538	5000	discard	E=E049/pc_pretrend_against_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.5s
cf0d4ee	0.264386	5000	discard	E=E050/pc_pretrend_against_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=6.00 elapsed=3.5s
cf0d4ee	0.352557	2153	keep	E=E051/pc_high_liquidity_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=6.00 elapsed=1.7s
0e61c4d	0.115666	763	discard	E=E052/pc_low_liquidity_avoid X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=4.25 elapsed=0.5s
0e61c4d	0.300538	5000	discard	E=E053/pc_btc_correlated_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.5s
0e61c4d	0.300538	5000	discard	E=E054/pc_low_btc_correl_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.5s
0e61c4d	0.300538	5000	discard	E=E055/pc_short_event_hold_1m_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.39 best_sl=6.00 elapsed=3.5s
0e61c4d	-0.011651	406	discard	E=E001/oi_overcrowded_continuation_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.40 elapsed=0.6s
0e61c4d	-0.011651	406	discard	E=E002/oi_overcrowded_reversal_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.40 elapsed=0.3s
0e61c4d	0.182000	190	discard	E=E003/oi_dropping_squeeze_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.36 best_sl=4.60 elapsed=0.1s
0e61c4d	0.045181	190	discard	E=E004/oi_dropping_capitulation_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.26 elapsed=0.1s
0e61c4d	0.068439	795	discard	E=E005/oi_funding_blowoff_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=0.9s
0e61c4d	0.084623	878	discard	E=E006/oi_funding_divergence_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	-0.066791	293	discard	E=E007/oi_low_vol_fakeout_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=2.65 elapsed=0.3s
0e61c4d	0.082801	1401	discard	E=E008/oi_pump_immediate_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.42 elapsed=1.2s
0e61c4d	0.082801	1401	discard	E=E009/oi_pump_delayed_30s_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.42 elapsed=1.2s
0e61c4d	0.082801	1401	discard	E=E010/oi_pump_delayed_1m_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=5.42 elapsed=1.2s
0e61c4d	0.084623	878	discard	E=E011/oi_pump_pretrend_aligned_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	0.059914	878	discard	E=E012/oi_pump_counter_pretrend_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=0.9s
0e61c4d	0.096481	250	discard	E=E013/oi_crash_immediate_short_cont X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.57 elapsed=0.3s
