entry_id,archetype,channel,side,novel_dim,n_exits_tested,best_score,median_score,best_exit,best_exit_family,best_tp,best_sl,best_triggers
E012,oi_pump_counter_pretrend_short,OI_Price,short,pretrend_5m_neg; oi_change_pct>=8,14,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E022,oi_pump_btc_bear_short,OI_Price,short,oi_change_pct>=8; btc_24h_pct<=-1,14,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E105,oi_pump_2nd_signal_5m_short,OI_Price,short,burst_count_5m=2; oi_change_pct>=8,13,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E115,oi_change_mfi_overbought_short,OI_Price,short,oi_change_pct>=8; pretrend_30m_pct>=15,13,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E118,oi_pump_weekend_short,OI_Price,short,oi_change_pct>=8; weekday in [Sat;Sun],13,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E121,oi_pump_5x_avg_volume_short,OI_Price,short,oi_change_pct>=8; volume_5x_avg,13,0.085916,-0.27987,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,878
E008,oi_pump_immediate_short,OI_Price,short,delay_seconds=0,14,0.08541,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,5.57,1401
E009,oi_pump_delayed_30s_short,OI_Price,short,delay_seconds=30,14,0.08541,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,5.57,1401
E010,oi_pump_delayed_1m_short,OI_Price,short,delay_seconds=60,14,0.08541,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,5.57,1401
E201,premium_funding_squeeze_short,OI_Price,short,premium_bps; funding; oi_change_pct,13,0.08541,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,5.57,1401
E026,oi_pump_burst_3plus_short,OI_Price,short,burst_count_5m>=3; oi_change_pct>=5,14,0.083305,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,5.07,970
E052,pc_low_liquidity_avoid,pricechange,both,liquidity_bucket=low,13,0.078625,-0.24275,fixed_tp1_sl1_symmetric,fixed,0.2,4.13,739
E005,oi_funding_blowoff_short,OI_Price,short,oi_change_pct>=10; funding_abs>=0.05pct,14,0.070948,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,795
E004,oi_dropping_capitulation_short,OI_Price,short,oi_change_pct<=-10; price_5m_neg,14,0.063362,-0.28,fixed_tp1_sl1_symmetric,fixed,0.24,5.26,190
E125,oi_change_imbalanced_book_long,OI_Price,long,oi_change_pct>=5; book_imbalance_bid_heavy,13,0.05912,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,970
E006,oi_funding_divergence_long,OI_Price,long,oi_change_pct>=8; funding_neg,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E011,oi_pump_pretrend_aligned_long,OI_Price,long,pretrend_5m_pos; oi_change_pct>=8,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E018,oi_pump_low_premium_long,OI_Price,long,oi_change_pct>=8; premium_bps_in_-5_5,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E021,oi_pump_btc_bull_long,OI_Price,long,oi_change_pct>=8; btc_24h_pct>=0,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E027,oi_pump_first_signal_long,OI_Price,long,burst_count_5m=1; oi_change_pct>=8,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E030,oi_pump_persistent_oi_long,OI_Price,long,oi_change_pct>=8; oi_continues_rising_60s,14,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E111,oi_pump_funding_normalized_long,OI_Price,long,oi_change_pct>=8; funding_in_-0.01_0.01,13,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E120,oi_pump_2x_avg_volume_long,OI_Price,long,oi_change_pct>=8; volume_2x_avg,13,0.056033,-0.279908,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,878
E102,oi_pump_taker_buy_extreme_short_pretrend_neg,OI_Price,short,oi_change_pct>=8; taker_buy_ratio_5m>=0.7; pretrend_5m_neg,13,0.036118,-0.28,fixed_tp1_sl1_symmetric,fixed,0.2,4.91,611
E162,r6_pump_session_asia_short,Reserved6,short,side_event=pump; session=Asian,13,0.024536,-0.278095,fixed_tp1_sl1_symmetric,fixed,0.24,2.92,39
E001,oi_overcrowded_continuation_short,OI_Price,short,oi_change_pct>=15; price_5m_neg,14,-0.001877,-0.279699,fixed_tp1_sl1_symmetric,fixed,0.2,4.4,406
E002,oi_overcrowded_reversal_short,OI_Price,short,oi_change_pct>=15; price_5m_pos,14,-0.001877,-0.279699,fixed_tp1_sl1_symmetric,fixed,0.2,4.4,406
E117,oi_pump_session_asia_short,OI_Price,short,oi_change_pct>=8; session=Asian,13,-0.003115,-0.279409,fixed_tp1_sl1_symmetric,fixed,0.2,4.4,334
E116,oi_pump_session_us_long,OI_Price,long,oi_change_pct>=8; session=US,13,-0.010306,-0.274795,fixed_tp1_sl1_symmetric,fixed,0.2,4.17,224
E033,oi_pump_top_trader_long_short,OI_Price,short,oi_change_pct>=8; top_trader_position_ratio_high,14,-0.016285,-0.278257,fixed_tp1_sl1_symmetric,fixed,0.2,2.42,238
E025,oi_pump_low_liquidity_avoid,OI_Price,both,liquidity_bucket=low,14,-0.026467,-0.257128,fixed_tp1_sl1_symmetric,fixed,0.2,3.86,420
E034,oi_pump_global_short_ratio_long,OI_Price,long,oi_change_pct>=8; global_short_ratio_high,14,-0.033933,-0.279489,fixed_tp1_sl1_symmetric,fixed,0.24,4.17,159
E024,oi_change_diverge_taker_short,OI_Price,short,oi_change_pct>=5; taker_buy_ratio_5m<=0.45,14,-0.058551,-0.093675,fixed_tp1_sl1_symmetric,fixed,0.24,0.74,70
E109,oi_pump_high_premium_immediate_short,OI_Price,short,delay_seconds=0; oi_change_pct>=8; premium_bps>=20,13,-0.060096,-0.279672,fixed_tp1_sl1_symmetric,fixed,0.2,4.87,226
E110,oi_pump_high_premium_delayed_short,OI_Price,short,delay_seconds=60; oi_change_pct>=8; premium_bps>=20,13,-0.060096,-0.279672,fixed_tp1_sl1_symmetric,fixed,0.2,4.87,226
E032,oi_pump_top_trader_short_long,OI_Price,long,oi_change_pct>=8; top_trader_position_ratio_dec,14,-0.070137,-0.27092,fixed_tp1_sl1_symmetric,fixed,0.2,4.52,155
E029,oi_pump_volume_low_short,OI_Price,short,oi_change_pct>=8; volume_pct_below_p25,14,-0.071805,-0.262593,fixed_tp1_sl1_symmetric,fixed,0.2,2.65,296
E017,oi_pump_high_premium_short,OI_Price,short,oi_change_pct>=10; premium_bps>=20,14,-0.074148,-0.27954,fixed_tp1_sl1_symmetric,fixed,0.2,4.87,206
E007,oi_low_vol_fakeout_short,OI_Price,short,oi_change_pct>=10; volume_pct_below_p25,14,-0.083639,-0.267232,fixed_tp1_sl1_symmetric,fixed,0.2,2.65,293
E123,oi_pump_oi_ranked_long,OI_Price,long,oi_change_pct>=8; oi_pct_top_decile,13,-0.085031,-0.267724,fixed_tp1_sl1_symmetric,fixed,0.2,4.48,141
E035,oi_pump_global_long_ratio_short,OI_Price,short,oi_change_pct>=8; global_long_ratio_extreme,14,-0.197865,-0.255591,fixed_tp1_sl1_symmetric,fixed,0.2,4.05,109
