strategy_family,channel,event_type,side,entry_timing,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,entry_catalog_score
premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,2641,2641,2428,2428,341.0,954,20.179131627082825,11.46295964717865,-2.2241588681936264,0.1032815521538257,0.0474451306670904,0.696049625,0.8921219250000001,95.79704657326768,32.26050738356683,100.0,11.9146890938282,27,10,1,6.079664570230608,v6_28d858af6439dc2b01,321,higher_confidence_watchlist,0.8855339805825244
oi_funding_continuation,ANY,ANY,long,1m,5476,5476,4136,3954,245.0,472,18.87871921062469,11.445614695549011,-2.2241588681936264,0.0936206925254315,0.0380684329771995,0.6380795000000001,0.875338175,94.9963476990504,6.610664718772827,100.0,11.897344142198564,16,6,1,4.081632653061225,v6_871de8c3a69cf23372,222,higher_confidence_watchlist,0.8538834951456311
contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,30s,18694,18694,17474,15811,341.0,954,20.179131627082825,8.095376938581467,-4.224158823490143,0.1032815521538257,0.0216621014684438,0.5532141250000001,0.8921219250000001,87.31143682464962,8.09885524767305,100.0,8.547106385231018,60,11,1,7.5,v6_b1c1ca8225d6820489,321,higher_confidence_watchlist,0.8525242718446602
freshness_strict_confirmation,ANY,ANY,long,30s,5751,5751,3630,2905,111.0,1491,23.294341564178467,10.39797216653824,-2.2241588681936264,0.1291272972822189,0.0317929155896655,0.5705192,0.87306275,94.90523387237002,5.3555903321161535,100.0,10.849701613187792,39,10,1,7.974335472043996,v6_691c612b10d572162f,79,validated_watchlist,0.8373786407766992
oi_funding_continuation,ANY,pump,long,30s,298,298,210,166,102.0,102,21.86616957187653,15.73370397090912,-2.2241588681936264,0.1186540806233883,0.049795487293601,0.7567151750000002,0.885508975,100.0,27.516778523489933,100.0,16.18543341755867,3,2,1,3.92156862745098,v6_62a7735fcc14133733,102,higher_confidence_watchlist,0.8256310679611649
oi_funding_continuation,ANY,pump,long,1m,10776,10776,7496,6537,185.0,3795,20.079436898231503,5.885528028011322,-1.824158988893032,0.1114346951305866,0.0203219836533069,0.4880302249999999,0.88989385,88.9105419450631,20.276540460282103,100.0,6.337257474660873,24,11,1,10.0,v6_f70c9ed57173dd6a00,201,higher_confidence_watchlist,0.8168932038834953
liquidity_filtered_momentum,BWE_OI_Price_monitor,pump,long,T0,8607,8607,5529,4511,145.0,954,17.46291220188141,5.2452318370342255,-3.2241586595773697,0.0819699251979589,0.0183717734135687,0.5639102500000001,0.792909275,89.85709306378529,6.262344603229929,100.0,5.696961283683777,33,10,1,6.079664570230608,v6_1119ad97a5655ef5ec,381,higher_confidence_watchlist,0.8129126213592233
oi_funding_continuation,ANY,pump,long,3m,4184,4184,3648,3648,764.0,3795,16.351188719272614,8.890970051288605,-5.224158987402916,0.0782295693159103,0.0287738451689481,0.59615145,0.802938925,86.59177820267686,4.780114722753346,100.0,9.342699497938156,44,9,1,4.057591623036649,v6_7e52621494b6ff6de9,30,exploratory_watchlist,0.8120388349514565
freshness_strict_confirmation,ANY,pump,long,30s,8492,8492,5902,4620,102.0,3795,23.10439646244049,7.566120475530624,-1.9601788371801376,0.128809628367424,0.023428944992721,0.5277548,0.885508975,77.03721149317005,16.23881300047103,100.0,8.017849922180176,32,10,1,11.76470588235294,v6_4aea03e3fa32fdedbb,102,higher_confidence_watchlist,0.7942718446601942
state_machine_runner,BWE_OI_Price_monitor,pump,long,T0,20190,20190,14121,12718,185.0,954,19.77584660053253,1.739189773797989,-2.2241588681936264,0.1022160455048084,0.0034952647525817,0.431175125,0.8909237750000001,75.67112431896979,6.562654779593859,100.0,2.1909192204475403,123,10,1,10.344827586206897,v6_d559b598378bae1f75,321,higher_confidence_watchlist,0.7671844660194176
message_context_breakout,ANY,pump,long,30s,2205,2205,2205,1390,227.0,522,19.22389566898346,14.328685402870178,-3.2241586595773697,0.087859793934226,0.0417179229313135,0.6350916750000001,0.7875120750000001,100.0,0.0,100.0,14.78041484951973,8,7,1,10.379241516966069,v6_8fd162e0643145aba7,227,higher_confidence_watchlist,0.7669902912621359
state_machine_runner,ANY,pump,long,3m,11908,11908,10632,10037,764.0,3795,18.051189184188843,7.285013049840927,-2.2241588681936264,0.0737084688574075,0.0231429665744304,0.583732075,0.703460325,85.3963721867652,2.5613033254954654,100.0,7.7367424964904785,46,10,1,4.057591623036649,v6_043741d443ad66e4bd,764,higher_confidence_watchlist,0.7609708737864078
premium_basis_overheat,ANY,pump,long,1m,8529,8529,7690,6671,764.0,3795,16.823983192443848,4.892709106206894,-4.224158823490143,0.0810006510913372,0.0101486077228239,0.4948546,0.8628831000000001,75.37812170242701,2.063547895415641,100.0,5.344438552856445,33,11,1,4.455445544554455,v6_970501f9a03644c302,220,higher_confidence_watchlist,0.7529126213592233
message_context_breakout,ANY,pump,long,5m,725,725,725,725,227.0,501,19.353583455085754,11.646904796361923,-3.2241586595773697,0.0874883675903081,0.037731690428555,0.69251735,0.787139425,100.0,0.0,100.0,12.098634243011476,5,5,1,6.467661691542288,v6_1829dccd8a1642840c,227,higher_confidence_watchlist,0.7425242718446602
contrarian_crash_fade,ANY,pump,long,1m,1199,1199,1199,1199,764.0,3795,15.318235754966736,7.275841385126114,-5.224158987402916,0.0572854350715875,0.0310147143959999,0.5672872250000001,0.715208075,91.24270225187657,3.252710592160134,100.0,7.727570831775665,15,9,1,4.057591623036649,v6_dd230398eee54900a4,764,higher_confidence_watchlist,0.7351456310679613
state_machine_runner,BWE_OI_Price_monitor,ANY,long,T0,9284,9284,7023,6653,416.0,1401,17.784789204597473,4.775841161608696,-4.224158823490143,0.0664777107983827,0.0080480036282539,0.477484775,0.7237550500000001,86.44980611805256,1.174062903920724,100.0,5.227570608258247,96,10,1,7.209136331192005,v6_5fd8d71833e2bdc03e,420,higher_confidence_watchlist,0.734368932038835
premium_basis_overheat,ANY,pump,long,5m,2614,2614,1796,1254,93.0,1322,17.093954980373383,5.205142498016357,-4.079200327396393,0.078315340027213,0.0119258899237854,0.4340844,0.859328925,86.1132364192808,5.31752104055088,100.0,5.656871944665909,31,9,1,13.636363636363637,v6_c333aad2e6801e6b48,220,higher_confidence_watchlist,0.7326213592233012
contrarian_crash_fade,BWE_OI_Price_monitor,ANY,long,30s,7118,7118,6189,5941,420.0,1401,16.44441783428192,6.252971291542053,-2.2241588681936264,0.0677741034895181,0.0181443164080381,0.5472625500000001,0.7229413250000001,78.43495363866253,0.224782242202866,100.0,6.704700738191605,41,11,1,3.571428571428571,v6_0e881c4a17252008a9,420,higher_confidence_watchlist,0.7288349514563106
cross_channel_continuation,ANY,pump,long,1m,1589,1589,1032,807,216.0,659,18.35598051548004,8.881860971450806,-1.7241587862372398,0.0852832401126623,0.027894037041366,0.5654705750000001,0.79363395,93.07740717432348,0.0,100.0,9.333590418100355,9,6,1,9.722222222222223,v6_a71546ec4dcdcf990d,354,higher_confidence_watchlist,0.7130097087378642
message_context_breakout,ANY,ANY,long,30s,511,511,511,511,273.0,904,16.1722332239151,11.490709334611893,-3.2241586595773697,0.0492303403049707,0.0326850066924095,0.6119848500000001,0.745887925,100.0,0.0,100.0,11.942438781261444,6,3,1,6.526548672566372,v6_d9ba92d563a253692b,273,higher_confidence_watchlist,0.7107766990291262
freshness_strict_confirmation,ANY,pump,long,5m,3000,3000,2937,2796,764.0,3795,19.248196482658383,4.68161553144455,-5.224158987402916,0.0888058604240417,0.0025795901227742,0.412503875,0.8663650749999999,70.93333333333334,2.2666666666666666,100.0,5.133344978094101,55,10,1,16.83794466403162,v6_f810d88af31d83df94,236,higher_confidence_watchlist,0.7048543689320388
cross_channel_continuation,ANY,pump,long,3m,1296,1296,650,522,50.0,659,17.7555650472641,7.808355242013931,-3.2241586595773697,0.0825182134240865,0.0194967673683166,0.5093643250000001,0.7908675750000002,94.9074074074074,0.0,100.0,8.260084688663483,10,5,1,18.0,v6_5e5d494a7bc04c1a9a,354,higher_confidence_watchlist,0.692621359223301
oi_funding_continuation,ANY,ANY,long,3m,2376,2376,2232,1969,1344.0,1344,14.892961084842682,7.706322520971298,-5.224158987402916,0.0666887050449848,0.0135996518611907,0.5319051250000001,0.750208275,89.26767676767676,0.0,100.0,8.15805196762085,22,8,1,4.389880952380952,v6_06a5ef103467b2b420,392,higher_confidence_watchlist,0.6896116504854368
freshness_strict_confirmation,ANY,ANY,long,5m,1064,1064,1064,1002,334.0,3292,17.02806204557419,9.40178483724594,-5.224158987402916,0.0757798027694225,0.019683769968152,0.5475849500000001,0.75565045,90.41353383458647,0.0,100.0,9.853514283895493,26,9,1,4.389880952380952,v6_07419b6c1456436c41,153,higher_confidence_watchlist,0.6894174757281555
contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,T0,3513,3513,2166,935,63.0,478,14.225193858146667,2.5913890451192856,-4.224158823490143,0.0627008522868156,0.0064209602341055,0.40613615,0.7094955750000002,88.84144605750072,2.305721605465414,100.0,3.043118491768837,42,11,1,16.0,v6_f192fdbf1ab42a88a6,71,validated_watchlist,0.6829126213592234
cross_channel_continuation,ANY,ANY,long,3m,524,524,346,275,365.0,392,16.544094681739807,9.100588411092758,-3.2241586595773697,0.0669249379962682,0.0286595830801129,0.6289165250000001,0.778972675,86.45038167938931,0.0,100.0,9.55231785774231,5,3,1,6.849315068493151,v6_2b5a4581d580ef0b8c,392,higher_confidence_watchlist,0.6694174757281554
liquidity_filtered_momentum,ANY,pump,long,3m,1154,1154,810,618,122.0,807,12.762847542762756,8.375635743141174,-3.2241586595773697,0.0368374904209375,0.020722249122262,0.4883230750000001,0.6758737,100.0,0.0,100.0,8.827365189790726,9,7,1,18.852459016393443,v6_9db0042f553a3856d0,737,higher_confidence_watchlist,0.6632038834951456
premium_basis_overheat,BWE_OI_Price_monitor,ANY,long,30s,1665,1665,1621,1621,420.0,1401,16.44441783428192,9.56282839179039,-5.224158987402916,0.0677741034895181,0.0211473168760538,0.5695767250000001,0.7229413250000001,84.32432432432432,0.0,100.0,10.01455783843994,18,10,1,3.571428571428571,v6_90292aedad368b4442,420,higher_confidence_watchlist,0.6619417475728155
message_context_breakout,ANY,ANY,long,5m,320,320,320,320,273.0,904,15.25508463382721,9.295359998941422,-3.2241586595773697,0.0460203202396631,0.0248412840175628,0.5452996250000001,0.734139375,100.0,0.0,100.0,9.747089445590971,3,3,1,6.526548672566372,v6_aa7aa6c862877107ef,273,higher_confidence_watchlist,0.6563106796116506
oi_funding_continuation,ANY,crash,short,1m,637,637,0,0,36.0,38,16.43121987581253,11.70533522963524,-5.224158987402916,0.0465367930948734,0.0276120313966274,0.5223282500000002,0.680289275,100.0,0.0,100.0,12.157064676284792,7,3,1,23.809523809523807,v6_c216694eb8d65cf8df,34,exploratory_watchlist,0.6553398058252428
