strategy_family,side,entry_timing,exit_family,rows,unique_clusters,median_sample,max_sample,best_median,median_of_medians,median_p10,best_p10,median_stress,best_stress,positive_p10_rate,positive_stress_rate,best_robust,median_robust,median_top_symbol_share,longform_score
state_machine_runner,long,T0,indicator_invalidation,573,11,954.0,954,18.17584633827209,14.99248594045639,-5.224158987402916,3.843453153967858,14.724168181419373,17.907528579235077,6.980802792321117,100.0,0.0941301989763975,0.0611915219038724,6.079664570230608,0.8460538116591928
freshness_strict_confirmation,long,30s,failed_continuation,607,10,334.0,1091,20.80548107624054,17.804476618766785,-5.224158987402916,8.306015282869339,17.536158859729767,20.53716331720352,13.673805601317957,100.0,0.112740041321516,0.0742962711006403,7.974335472043996,0.8429596412556054
freshness_strict_confirmation,long,30s,time_decay,668,6,227.0,273,18.445730209350582,17.788061499595642,-1.824158988893032,6.087090075016022,17.519743740558624,18.177412450313568,17.065868263473057,100.0,0.0953066144585609,0.0790649120211601,3.524229074889868,0.8255156950672645
oi_funding_continuation,long,1m,runner_trail,4576,12,163.0,255,17.98195242881775,12.428831309080124,-2.2241588681936264,10.865797847509384,12.160513550043106,17.71363615989685,19.86451048951049,100.0,0.0955797368228435,0.0380684329771995,5.659574468085106,0.8158744394618834
premium_basis_overheat,long,30s,breakeven_ratchet,553,5,420.0,1401,20.179131627082825,16.359075903892517,-5.224158987402916,4.213728755712509,16.0907581448555,19.910813868045807,19.89150090415913,100.0,0.1032815521538257,0.0635074647098779,6.079664570230608,0.8104932735426009
freshness_strict_confirmation,long,30s,breakeven_ratchet,3781,4,102.0,111,21.86616957187653,15.759184956550598,-2.2241588681936264,11.220864951610563,15.49086719751358,21.597851812839508,24.676011637133033,100.0,0.1199143163919448,0.049795487293601,3.92156862745098,0.8092825112107623
oi_funding_continuation,long,1m,breakeven_ratchet,3610,4,292.0,400,20.079436898231503,13.425835967063904,-2.2241588681936264,10.846831649541857,13.157518208026886,19.81111913919449,22.13296398891967,100.0,0.1114346951305866,0.0417179492801427,3.557312252964427,0.8091031390134529
oi_funding_continuation,long,30s,breakeven_ratchet,422,4,102.0,111,21.86616957187653,15.759184956550598,-2.2241588681936264,10.505876690149307,15.49086719751358,21.597851812839508,19.431279620853083,100.0,0.1186540806233883,0.049795487293601,3.92156862745098,0.8064125560538117
freshness_strict_confirmation,long,30s,state_machine,2061,16,139.0,904,23.294341564178467,8.33396092057228,-1.6578048467636108,14.898772537708282,8.065643161535263,23.02602380514145,13.925278990781173,100.0,0.1291272972822189,0.0233013872140645,9.03954802259887,0.7990582959641256
contrarian_crash_fade,long,30s,breakeven_ratchet,2997,8,341.0,1401,20.179131627082825,10.565640777349472,-2.2241588681936264,4.213728755712509,10.297323018312454,19.910813868045807,6.639973306639973,100.0,0.1032815521538257,0.0309196121454238,6.079664570230608,0.7980717488789237
freshness_strict_confirmation,long,5m,state_machine,2806,22,441.0,3795,16.72869324684143,6.596763432025909,-5.224158987402916,6.901882588863373,6.328445672988892,16.460375487804413,2.4233784746970777,100.0,0.0888058604240417,0.0094161950498819,5.895691609977324,0.7950224215246638
contrarian_crash_fade,long,30s,state_machine,3232,10,341.0,1401,16.635805368423462,10.455147922039032,-5.224158987402916,5.326446145772934,10.186830163002014,16.367487609386444,6.064356435643564,100.0,0.0883563700139522,0.025674538731575,6.079664570230608,0.7900448430493273
state_machine_runner,long,T0,time_decay,3121,25,381.0,1401,16.60131961107254,11.257001012563704,-4.224158823490143,-0.4807930905371904,10.988683253526688,16.333001852035522,0.0,100.0,0.0779333769738674,0.0362270265772938,6.079664570230608,0.7879372197309418
premium_basis_overheat,long,30s,state_machine,438,4,420.0,1401,15.960444509983065,14.096243679523468,-5.224158987402916,5.326446145772934,13.82792592048645,15.692126750946043,25.11415525114155,100.0,0.0852174813866615,0.0627691022127866,3.571428571428571,0.7804932735426009
premium_basis_overheat,long,30s,time_decay,650,7,420.0,1401,16.526153683662415,13.047921657562256,-4.224158823490143,0.0726548372767865,12.779603898525238,16.257835924625397,6.769230769230769,100.0,0.077324901330471,0.0482230609238147,6.079664570230608,0.7691479820627802
state_machine_runner,long,T0,state_machine,3582,24,321.0,1401,15.311358869075775,9.540193527936935,-2.2241588681936264,4.399697482585907,9.271875768899918,15.043041110038756,10.999441652707985,100.0,0.0815583613216877,0.0235307948619127,6.079664570230608,0.7687892376681614
contrarian_crash_fade,long,30s,runner_trail,2691,9,341.0,1401,15.723501145839691,9.90443304181099,-2.2241588681936264,5.284091830253601,9.636115282773972,15.455183386802672,8.02675585284281,100.0,0.0846784194886684,0.0265621009677648,6.079664570230608,0.7663677130044843
liquidity_filtered_momentum,long,T0,breakeven_ratchet,1392,7,455.0,1401,17.46291220188141,14.861002564430237,-3.2241586595773697,-1.7241587862372398,14.59268480539322,17.19459444284439,0.0,100.0,0.0819699251979589,0.0446410329967737,3.149606299212598,0.7657847533632287
premium_basis_overheat,long,30s,runner_trail,478,5,420.0,1401,15.100090205669405,13.025444746017456,-5.224158987402916,5.284091830253601,12.757126986980438,14.831772446632383,23.84937238493724,100.0,0.0817809810817241,0.0551451350957155,6.079664570230608,0.7587892376681614
