sample_tier,strategies,clusters,median_sample,best_median,median_p10,positive_p10_rate,median_stress,positive_stress_rate
early_alpha,19569,154,24.0,23.300617933273315,-1.824158988893032,7.890030149726608,1.4399416744709015,78.89008125095815
exploratory_watchlist,28228,183,42.0,23.821711540222168,-1.824158988893032,3.6098908884795238,1.1903170496225357,70.5328043077795
higher_confidence_watchlist,130180,684,434.0,21.86616957187653,-3.2241586595773697,5.220463972960516,7.007523626089096,80.9033645721309
validated_watchlist,22023,164,68.0,21.8118816614151,-2.2241588681936264,2.0024519820187985,2.0278461277484894,64.82768015256777
