strategy_similarity_cluster_id,strategy_family,side,exit_family,strategies,sample_gt15_count,median_sample_size,best_median_net_pct,median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,positive_stress_rate_pct,future_safety_pass_rate_pct,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,neighborhood_stability_score,source_cluster_strategies,source_cluster_best_strategy_id,source_cluster_best_robust_score
cluster_be4e50cdb6,message_context_breakout,long,breakeven_ratchet,275,275,227.0,19.353583455085754,19.353583455085754,-3.2241586595773697,0.0874883675903081,0.0874883675903081,0.787139425,100.0,100.0,3.524229074889868,v6_1829dccd8a1642840c,227,higher_confidence_watchlist,0.8145149253731344,275,v6_1829dccd8a1642840c,0.0874883675903081
cluster_9940dbe60d,oi_funding_continuation,long,time_decay,271,271,392.0,14.892961084842682,14.892961084842682,-4.224158823490143,0.0666887050449848,0.0666887050449848,0.750208275,100.0,100.0,3.316326530612245,v6_06a5ef103467b2b420,392,higher_confidence_watchlist,0.8129179104477612,271,v6_06a5ef103467b2b420,0.0666887050449848
cluster_c392d1e02f,liquidity_filtered_momentum,long,state_machine,754,754,68.0,13.931024074554443,12.391024827957152,-3.2241586595773697,0.0649540195792913,0.0564840222328901,0.699969525,100.0,100.0,5.88235294117647,v6_095129911e3642d9e8,68,validated_watchlist,0.8123208955223881,840,v6_095129911e3642d9e8,0.0649540195792913
cluster_783322ff4f,contrarian_crash_fade,long,breakeven_ratchet,530,530,420.0,16.44441783428192,12.26627454161644,-2.2241588681936264,0.0635074647098779,0.0383994842910766,0.6806217250000001,100.0,100.0,3.571428571428571,v6_0e881c4a17252008a9,420,higher_confidence_watchlist,0.8113656716417911,640,v6_0e881c4a17252008a9,0.0635074647098779
cluster_4b64385841,freshness_strict_confirmation,long,breakeven_ratchet,379,379,79.0,21.488478779792786,15.759184956550598,-2.2241588681936264,0.109695623448491,0.0495846707433462,0.749931125,100.0,100.0,5.063291139240507,v6_691c612b10d572162f,79,validated_watchlist,0.8108507462686567,423,v6_691c612b10d572162f,0.109695623448491
cluster_1dc84b6762,oi_funding_continuation,long,runner_trail,1059,1059,245.0,15.511934459209442,13.228832185268402,-5.224158987402916,0.071374273070693,0.0380684329771995,0.662653975,100.0,100.0,4.081632653061225,v6_4e1e29ef0067e843b4,245,higher_confidence_watchlist,0.8103208955223881,1235,v6_4e1e29ef0067e843b4,0.071374273070693
cluster_a614347275,premium_basis_overheat,long,breakeven_ratchet,541,541,764.0,15.318235754966736,8.85142907500267,-2.2241588681936264,0.0572854350715875,0.0269075251579284,0.6699252250000001,100.0,100.0,4.057591623036649,v6_3efd39357557bc0bd3,764,higher_confidence_watchlist,0.8068283582089552,650,v6_dd230398eee54900a4,0.0572854350715875
cluster_7c35a05e6e,state_machine_runner,long,state_machine,930,930,321.0,14.291994273662567,10.43984442949295,-1.4157387427985668,0.0717891783460974,0.0314069788986444,0.6325586500000001,100.0,100.0,3.4267912772585665,v6_484fa3767a75af7782,321,higher_confidence_watchlist,0.8067537313432835,1284,v6_484fa3767a75af7782,0.0717891783460974
cluster_f20c54eb65,contrarian_crash_fade,long,failed_continuation,530,530,420.0,16.33826196193695,11.326094716787338,-2.2241588681936264,0.0622279854446649,0.0351088549041748,0.6634224750000001,100.0,100.0,3.571428571428571,v6_e7d01b8184c4c8e2f8,420,higher_confidence_watchlist,0.802634328358209,640,v6_7a3c0ee96129736c5e,0.0622279854446649
cluster_20361e7fcc,state_machine_runner,long,state_machine,540,540,764.0,13.980646431446075,11.12479493021965,-2.2241588681936264,0.0552833057016134,0.0338043056511879,0.6601202750000001,100.0,100.0,4.057591623036649,v6_155fd4f7a80e514d08,764,higher_confidence_watchlist,0.8005298507462687,666,v6_155fd4f7a80e514d08,0.0552833057016134
cluster_e38f80fe47,liquidity_filtered_momentum,long,breakeven_ratchet,218,218,455.0,14.861002564430237,14.861002564430237,-3.2241586595773697,0.0446410329967737,0.0446410329967737,0.742104475,100.0,100.0,2.6373626373626373,v6_30d779d348239c9e70,455,higher_confidence_watchlist,0.7998805970149254,218,v6_30d779d348239c9e70,0.0446410329967737
cluster_a9c5283be9,premium_basis_overheat,long,state_machine,534,534,764.0,13.31113874912262,10.474586486816406,-2.2241588681936264,0.0534624897390604,0.0319885760992765,0.6589286750000001,100.0,100.0,4.057591623036649,v6_c221b1d037ee29cc63,764,higher_confidence_watchlist,0.7980447761194029,640,v6_c221b1d037ee29cc63,0.0534624897390604
cluster_0c295f039d,contrarian_crash_fade,long,state_machine,525,525,420.0,15.00624418258667,11.365147680044174,-2.2241588681936264,0.0677741034895181,0.0346455402755737,0.656402725,100.0,100.0,3.571428571428571,v6_20b69d9b5e29819ad4,420,higher_confidence_watchlist,0.7956343283582089,639,v6_20b69d9b5e29819ad4,0.0677741034895181
cluster_8e15b53aec,liquidity_filtered_momentum,long,state_machine,667,667,72.0,14.092263579368591,12.552262842655182,-3.2241586595773697,0.0404504465490579,0.035060443970561,0.6578546249999999,100.0,100.0,5.555555555555555,v6_010387ba04e189ea0c,72,validated_watchlist,0.7956044776119403,667,v6_010387ba04e189ea0c,0.0404504465490579
cluster_75100087dc,contrarian_crash_fade,long,state_machine,538,538,954.0,14.30833339691162,10.134144127368929,-2.2241588681936264,0.059087417319417,0.0307970278412103,0.6776202,100.0,100.0,6.079664570230608,v6_2c801a94b0d9ca3b66,954,higher_confidence_watchlist,0.7955895522388059,645,v6_2c801a94b0d9ca3b66,0.059087417319417
cluster_6ef1ff4fd5,freshness_strict_confirmation,long,time_decay,331,331,227.0,18.36431324481964,11.178603768348694,-1.824158988893032,0.0844880206465721,0.0357926362225413,0.6728204500000001,100.0,100.0,3.524229074889868,v6_4c751244bcaefd1905,227,higher_confidence_watchlist,0.7948582089552239,331,v6_4c751244bcaefd1905,0.0844880206465721
cluster_0b7826be47,contrarian_crash_fade,long,runner_trail,533,533,420.0,14.065444469451904,10.704433172941208,-2.2241588681936264,0.0640640201002359,0.0329330395007133,0.643903,100.0,100.0,3.571428571428571,v6_060b773eb539b79316,420,higher_confidence_watchlist,0.7947238805970149,643,v6_060b773eb539b79316,0.0640640201002359
cluster_6f87f815f2,oi_funding_continuation,long,time_decay,273,273,354.0,16.04085862636566,9.988608956336977,-1.824158988893032,0.0739525584459304,0.0317876543805003,0.7004666750000001,100.0,100.0,3.389830508474576,v6_c44f5aec54a24305b1,354,higher_confidence_watchlist,0.7943656716417911,273,v6_c44f5aec54a24305b1,0.0739525584459304
