paper_id,strategy_id,side,symbol,close_time_ms,open_time_ms,atr_pct_asof,entry_ts_ms,entry_price,exit_ts_ms,exit_price,return_pct,exit_reason,bwe_confirm_pre_entry,capital_usdt,notional_pct,notional_usdt,pnl_usdt
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ACUUSDT,1776327899999,1776327600000,0.006499284919752089,1776327900000,0.089934945,1776414240000,0.095952,7.4356394,scale_time,False,1000.0,0.075,75.0,5.5767295360565186
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AEROUSDT,1776369299999,1776369000000,0.007153481124725556,1776369300000,0.40300137,1776455640000,0.4403797,8.866375,scale_time,False,1000.0,0.075,75.0,6.649781227111816
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AEROUSDT,1776856799999,1776856500000,0.004081136466256811,1776856800000,0.41090533,1776943140000,0.4064966,-1.1529254,time,False,1000.0,0.075,75.0,-0.8646940290927887
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AEROUSDT,1776969899999,1776969600000,0.009599739668076797,1776969900000,0.43731853,1777056240000,0.4261868,-2.625452,time,False,1000.0,0.075,75.0,-1.9690890312194824
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AIXBTUSDT,1776311399999,1776311100000,0.011203469461510662,1776311400000,0.027583783,1776329520000,0.028754016,5.1060276,scale_trail,False,1000.0,0.075,75.0,3.8295207023620605
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AIXBTUSDT,1776311999999,1776311700000,0.011056258356474344,1776312000000,0.02777388,1776329520000,0.028754016,5.663632,scale_trail,False,1000.0,0.075,75.0,4.247723937034607
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AIXBTUSDT,1776317399999,1776317100000,0.011202537920095155,1776317400000,0.028644314,1776329640000,0.028662061,2.1048741,scale_trail,False,1000.0,0.075,75.0,1.5786556005477905
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ALTUSDT,1776312899999,1776312600000,0.004878334341522418,1776312900000,0.0073686824,1776325560000,0.007683676,5.9766846,scale_trail,False,1000.0,0.075,75.0,4.482513427734375
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ALTUSDT,1776314099999,1776313800000,0.005922198946729581,1776314100000,0.0073386673,1776325560000,0.007683676,5.5217757,scale_trail,False,1000.0,0.075,75.0,4.141331791877747
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ALTUSDT,1776314999999,1776314700000,0.006318078520492122,1776315000000,0.0072746356,1776325560000,0.007683676,6.4684615,scale_trail,False,1000.0,0.075,75.0,4.851346135139465
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,APEUSDT,1776350699999,1776350400000,0.010276967930029175,1776350700000,0.097748846,1776437040000,0.10494749,7.5911865,scale_time,False,1000.0,0.075,75.0,5.693389892578125
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,APEUSDT,1777037999999,1777037700000,0.009220664393078152,1777038000000,0.112656295,1777046280000,0.16901545,40.60962,scale_tp2,False,1000.0,0.075,75.0,30.45721435546875
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,APEUSDT,1777267799999,1777267500000,0.011047619047619034,1777267800000,0.1490745,1777354140000,0.1481259,-0.7163213,time,False,1000.0,0.075,75.0,-0.5372409671545029
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARKMUSDT,1776316199999,1776315900000,0.008082864327625432,1776316200000,0.118259095,1776326820000,0.12983905,9.901337,scale_trail,False,1000.0,0.075,75.0,7.426002502441406
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARKMUSDT,1776318299999,1776318000000,0.008452380952380947,1776318300000,0.12036015,1776326820000,0.12983905,8.521234,scale_trail,False,1000.0,0.075,75.0,6.390925168991089
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARKMUSDT,1776318599999,1776318300000,0.008602278120550536,1776318600000,0.1196598,1776326820000,0.12983905,8.36334,scale_trail,False,1000.0,0.075,75.0,6.272505283355713
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARUSDT,1776326999999,1776326700000,0.011066398390342055,1776327000000,2.0750368,1776347580000,2.1094248,3.4018204,scale_trail,False,1000.0,0.075,75.0,2.551365315914154
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARUSDT,1776348899999,1776348600000,0.02293057409879839,1776348900000,2.1220605,1776435240000,2.168915,2.1279707,time,False,1000.0,0.075,75.0,1.595978021621704
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,ARUSDT,1776593399999,1776593100000,0.010013972985561255,1776593400000,2.1240613,1776679740000,2.1049469,-0.97990495,time,False,1000.0,0.075,75.0,-0.7349287122488022
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AVNTUSDT,1775435399999,1775435100000,0.005490282200505126,1775435400000,0.13016504,1775506260000,0.13406892,4.8319445,scale_trail,False,1000.0,0.075,75.0,3.6239583492279053
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AVNTUSDT,1775460299999,1775460000000,0.0066318764948902174,1775460300000,0.13176584,1775506260000,0.13406892,3.5573883,scale_trail,False,1000.0,0.075,75.0,2.668041229248047
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,AVNTUSDT,1775960399999,1775960100000,0.007902076231794269,1775960400000,0.1384692,1776046740000,0.13043475,-5.8823395,time,False,1000.0,0.075,75.0,-4.411754608154297
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,BANUSDT,1775316899999,1775316600000,0.006882732183307205,1775316900000,0.0572386,1775403240000,0.059830066,4.4474735,time,False,1000.0,0.075,75.0,3.3356051445007324
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,BANUSDT,1775958299999,1775958000000,0.005644282700910982,1775958300000,0.061690826,1775998260000,0.069360904,11.289617,scale_trail,False,1000.0,0.075,75.0,8.467212438583374
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,BANUSDT,1775958599999,1775958300000,0.005580899891160895,1775958600000,0.061640803,1775998260000,0.069360904,11.307027,scale_trail,False,1000.0,0.075,75.0,8.480270147323608
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,BARDUSDT,1775349299999,1775349000000,0.007280661460725784,1775349300000,0.31285635,1775435640000,0.3024487,-3.4066544,time,False,1000.0,0.075,75.0,-2.554990768432617
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,long,BARDUSDT,1775568299999,1775568000000,0.018961291217684875,1775568300000,0.30735362,1775649720000,0.31439072,3.6690578,scale_trail,False,1000.0,0.075,75.0,2.751793384552002
