baseline_name,strategy_family,side,entry_timing,exit_family,sample_size,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,robust_score
current_live_bwe_oi_pump_long,baseline_current_live_reference,long,T0,fixed_tp_sl,954,-0.4517294466495514,-1.2241588905453682,-0.7200472056865692,-0.0053203088954091
simple_fixed_horizon,baseline_simple_horizon,long,1m,time_decay,7317,-1.024158950895071,-1.024158950895071,-1.2924767099320889,-0.0066005682643502
message_only,baseline_message_only,long,T0,time_decay,7317,-1.024158950895071,-1.024158950895071,-1.2924767099320889,-0.0067006514664739
timing_t0,baseline_timing,long,T0,fixed_tp_sl,7317,-1.2241588905453682,-1.2241588905453682,-1.492476649582386,-0.0082163210339844
timing_30s,baseline_timing,long,30s,fixed_tp_sl,7317,-1.2241588905453682,-1.2241588905453682,-1.492476649582386,-0.0082167000450193
timing_3m,baseline_timing,long,3m,fixed_tp_sl,7317,-1.2241588905453682,-1.2241588905453682,-1.492476649582386,-0.0082114609010517
timing_1m,baseline_timing,long,1m,fixed_tp_sl,7317,-1.2241588905453682,-1.2241588905453682,-1.492476649582386,-0.0082167000450193
simple_fixed_tp_sl,baseline_simple_exit,long,1m,fixed_tp_sl,7317,-1.2241588905453682,-1.2241588905453682,-1.492476649582386,-0.0081875313498079
