side,strategies,median_sample,best_median,median_of_medians,median_p10,median_stress,unique_clusters
short,3816,27.0,23.821711540222168,2.1484728902578354,-3.740436583757401,1.8801551312208176,37
long,196184,292.0,23.294341564178467,4.8769161105155945,-2.624158933758736,4.608598351478577,1050
