exit_family,side,horizon_min,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,exit_catalog_score
breakeven_ratchet,long,240,19942,19942,19587,17723,341.0,1430,21.86616957187653,14.328685402870178,-3.2241586595773697,0.1199143163919448,0.0417179492801427,0.702510025,0.8921219250000001,100.0,10.841440176511885,100.0,14.78041484951973,67,1,9,4.057591623036649,v6_28d858af6439dc2b01,321,higher_confidence_watchlist,0.8911764705882353
runner_trail,long,240,20674,20674,16788,16042,340.0,3795,19.61088627576828,9.952736645936966,-3.2241586595773697,0.1032176452636718,0.027894037041366,0.6119848500000001,0.8746557749999998,100.0,7.937506046241656,100.0,10.404466092586516,94,1,9,6.079664570230608,v6_a007baac46dfabbc59,196,higher_confidence_watchlist,0.8755882352941177
state_machine,long,240,20312,20312,17355,14130,341.0,3795,23.294341564178467,10.232578217983246,-3.2241586595773697,0.1291272972822189,0.0264863863670825,0.5991981,0.8802921750000001,100.0,7.360181173690429,100.0,10.684307664632795,109,1,7,5.895691609977324,v6_bb5a10b92455024a2a,321,higher_confidence_watchlist,0.8732352941176471
time_decay,long,240,16329,16329,13448,11740,341.0,1401,19.248196482658383,11.178603768348694,-4.224158823490143,0.0953066144585609,0.0305312941426038,0.6078482250000001,0.8776552000000001,100.0,0.6981444056586441,100.0,11.630333214998243,96,1,6,5.895691609977324,v6_2e078d5e7379ffb44f,141,higher_confidence_watchlist,0.8600000000000001
indicator_invalidation,long,240,4050,4050,3381,2668,220.0,954,19.70979869365692,10.496475547552109,-5.224158987402916,0.0950864667028188,0.0293651884377002,0.549899625,0.8858094000000001,100.0,17.308641975308642,100.0,10.94820499420166,26,1,7,12.5,v6_ef65d121e8a0c33a26,321,higher_confidence_watchlist,0.8476470588235294
failed_continuation,long,240,11422,11422,9742,9659,462.0,1401,20.80548107624054,9.582211822271349,-5.224158987402916,0.112740041321516,0.0234386749029159,0.5856012250000001,0.86589085,100.0,7.362983715636491,100.0,10.0339412689209,55,1,7,6.079664570230608,v6_8f21b07ab27a9ca722,68,validated_watchlist,0.8458823529411764
fixed_tp_sl,long,240,8804,8804,7926,7637,347.0,3795,7.775840908288956,4.775841161608696,-2.2241588681936264,0.0422429661273956,0.0114529001183807,0.5012349,0.688776225,100.0,21.092685143116764,100.0,5.227570608258247,69,1,7,4.057591623036649,v6_ca60f9ead3c1807ba3,321,higher_confidence_watchlist,0.8273529411764706
partial_ladder,long,240,14175,14175,11028,10981,341.0,3795,13.00937682390213,5.460014194250107,-3.2241586595773697,0.0632121539682149,0.013397256976366,0.48915695,0.7950693250000002,100.0,2.4479717813051147,100.0,5.911743640899658,86,1,8,6.079664570230608,v6_58bc6eedb077fcdf78,321,higher_confidence_watchlist,0.8235294117647058
multi_tp_sl,long,240,7095,7095,6609,5869,420.0,3795,11.775840818881989,4.275841265916824,-3.2241586595773697,0.061542965516448,0.0101070270985364,0.46918675,0.7410603750000001,100.0,5.835095137420719,100.0,4.727570712566376,74,1,8,6.079664570230608,v6_f659bda7526d587034,321,higher_confidence_watchlist,0.8108823529411764
prove_or_exit,long,240,1634,1634,1348,326,60.0,284,17.454664409160614,6.878677010536194,-3.2241586595773697,0.0559491820301115,0.0192557456570863,0.5572741999999999,0.7220541,100.0,0.0,100.0,7.330406457185745,13,1,5,16.666666666666664,v6_997445e7aff00de3b8,60,validated_watchlist,0.7216176470588235
state_machine,long,60,730,730,609,517,110.0,252,0.9894708171486856,0.7613686844706535,-0.9347726590931416,0.0034037311820313,0.0021921558856964,0.43030605,0.465449025,100.0,8.356164383561644,100.0,1.213098131120205,19,1,3,10.92436974789916,v6_54789516a3b59f96d5,203,higher_confidence_watchlist,0.7182352941176471
time_decay,short,240,1041,1041,0,0,38.0,46,23.821711540222168,10.9841451048851,-4.224158823490143,0.0724035139203071,0.0276120313966274,0.5600098,0.72169575,100.0,0.0,100.0,11.435874551534653,14,1,4,28.94736842105264,v6_fc8c485029e44f9413,34,exploratory_watchlist,0.7180882352941177
