paper_id,strategy_id,symbol,side,open_time_ms,entry_ts_ms,exit_ts_ms,entry_price,exit_price,return_pct,pnl_usdt,exit_reason
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000000MOGUSDT,long,1775435100000,1775435400000,1775521740000,0.1386693,0.1327336,-4.3604717,-3.2703537940979004,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000000MOGUSDT,long,1775497200000,1775497500000,1775583840000,0.13386689,0.1329335,-0.7772551,-0.5829413384199142,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000000MOGUSDT,long,1776825000000,1776825300000,1776884760000,0.15817904,0.17462063,9.791727,7.343795299530029,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000BONKUSDT,long,1775961900000,1775962200000,1776048540000,0.0057118544,0.005681158,-0.61741334,-0.46306000649929047,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000BONKUSDT,long,1776351300000,1776351600000,1776437940000,0.006135066,0.006674661,8.572708,6.429531097412109,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000BONKUSDT,long,1776351900000,1776352200000,1776438540000,0.006193095,0.006642677,7.377107,5.532830357551575,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000CHEEMSUSDT,long,1776348000000,1776348300000,1776412020000,0.0005194596,0.00053158606,3.7190747,2.7893060445785522,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000CHEEMSUSDT,long,1776348600000,1776348900000,1776412020000,0.0005171584,0.00053158606,4.1809483,3.135711193084717,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000CHEEMSUSDT,long,1776497100000,1776497400000,1776498060000,0.00060760364,0.00062786194,4.5711055,3.428329110145569,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000PEPEUSDT,long,1776348000000,1776348300000,1776434640000,0.0037744862,0.004039479,6.9406285,5.205471396446228,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000PEPEUSDT,long,1776348600000,1776348900000,1776435240000,0.0037597788,0.0040743616,8.261143,6.195857048034668,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,1000PEPEUSDT,long,1776349800000,1776350100000,1776436440000,0.0037616799,0.00405797,7.8795714,5.90967857837677,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACTUSDT,long,1776313200000,1776313500000,1776357660000,0.01454727,0.016680455,13.795747,10.346810102462769,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACTUSDT,long,1776349800000,1776350100000,1776357660000,0.01468734,0.016680455,12.709742,9.53230619430542,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACTUSDT,long,1777304700000,1777305000000,1777391340000,0.013806899,0.01433283,3.7291899,2.7968924045562744,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACUUSDT,long,1775495400000,1775495700000,1775582040000,0.0816508,0.07523236,-7.9408455,-5.955634117126465,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACUUSDT,long,1776185700000,1776186000000,1776272340000,0.09555775,0.08906545,-6.874113,-5.155584812164307,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ACUUSDT,long,1776327600000,1776327900000,1776414240000,0.089934945,0.095952,7.4356394,5.5767295360565186,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AEROUSDT,long,1776369000000,1776369300000,1776455640000,0.40300137,0.4403797,8.866375,6.649781227111816,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AEROUSDT,long,1776856500000,1776856800000,1776943140000,0.41090533,0.4064966,-1.1529254,-0.8646940290927887,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AEROUSDT,long,1776969600000,1776969900000,1777056240000,0.43731853,0.4261868,-2.625452,-1.9690890312194824,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AIXBTUSDT,long,1776311100000,1776311400000,1776329520000,0.027583783,0.028754016,5.1060276,3.8295207023620605,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AIXBTUSDT,long,1776311700000,1776312000000,1776329520000,0.02777388,0.028754016,5.663632,4.247723937034607,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,AIXBTUSDT,long,1776317100000,1776317400000,1776329640000,0.028644314,0.028662061,2.1048741,1.5786556005477905,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ALTUSDT,long,1776312600000,1776312900000,1776325560000,0.0073686824,0.007683676,5.9766846,4.482513427734375,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ALTUSDT,long,1776313800000,1776314100000,1776325560000,0.0073386673,0.007683676,5.5217757,4.141331791877747,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ALTUSDT,long,1776314700000,1776315000000,1776325560000,0.0072746356,0.007683676,6.4684615,4.851346135139465,scale_trail
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,APEUSDT,long,1776350400000,1776350700000,1776437040000,0.097748846,0.10494749,7.5911865,5.693389892578125,scale_time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,APEUSDT,long,1777037700000,1777038000000,1777046280000,0.112656295,0.16901545,40.60962,30.45721435546875,scale_tp2
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,APEUSDT,long,1777267500000,1777267800000,1777354140000,0.1490745,0.1481259,-0.7163213,-0.5372409671545029,time
V8P_LONG_01,L_LIVEF_T8_A4_S1706_SEL125_MPS3_ALL_P30C3__trail_tp8.0_tp250.0_sl10.0_tr8.0_f0.25_c1_t1440,ARKMUSDT,long,1776315900000,1776316200000,1776326820000,0.118259095,0.12983905,9.901337,7.426002502441406,scale_trail
