rule,side,activation,giveback,hard_stop,max_hold,trades,mean_exit_ret,median_exit_ret,p10_exit_ret,p25_exit_ret,win_rate,mean_mfe,mean_mae,capture_ratio,score
L_pullback_ema_reclaim,long,25,0.5,12,240,48,14.150092170299601,11.887721583092503,-12.0,-12.0,0.5833333333333334,32.717408786358966,-18.31211640581014,0.4324942804211093,2.150092170299601
L_pullback_ema_reclaim,long,35,0.5,12,240,48,13.120730947844885,1.5714433472575395,-12.0,-12.0,0.5,32.717408786358966,-18.31211640581014,0.4010320937554009,1.1207309478448853
L_pullback_ema_reclaim,long,18,0.5,12,240,48,12.726268755532947,9.253362519315722,-12.0,-12.0,0.6041666666666666,32.717408786358966,-18.31211640581014,0.3889754484725262,0.7262687555329475
L_pullback_ema_reclaim,long,25,0.65,12,240,48,12.352172563841656,1.5714433472575395,-12.0,-12.0,0.5,32.717408786358966,-18.31211640581014,0.3775412852680347,0.3521725638416555
L_pullback_ema_reclaim,long,12,0.65,12,240,49,12.345034265410622,3.6138632653835767,-12.0,-12.0,0.6122448979591837,33.04232751778682,-17.961864501020226,0.3736127322981481,0.34503426541062154
L_pullback_ema_reclaim,long,35,0.25,12,240,53,11.978546986510741,16.92859112213949,-12.0,-12.0,0.5660377358490566,35.59974961277124,-16.913870060907076,0.3364784055170291,-0.021453013489258765
L_pullback_ema_reclaim,long,12,0.5,12,240,49,11.895856594143156,5.3724641167508524,-12.0,-12.0,0.6530612244897959,33.04232751778682,-17.961864501020226,0.36001872409682906,-0.10414340585684378
L_pullback_ema_reclaim,long,25,0.25,12,240,55,11.812841500126023,18.41249774245981,-12.0,-12.0,0.6545454545454545,35.57257290952811,-16.418818349988694,0.33207723068470973,-0.18715849987397704
L_pullback_ema_reclaim,long,35,0.65,12,240,48,11.743044654878819,-7.5937618824396536,-12.0,-12.0,0.4583333333333333,32.717408786358966,-18.31211640581014,0.358923432217985,-0.256955345121181
L_pullback_ema_reclaim,long,18,0.65,12,240,48,11.53432410436081,2.2976642996712315,-12.0,-12.0,0.5208333333333334,32.717408786358966,-18.31211640581014,0.35254393707272663,-0.46567589563919043
L_pullback_ema_reclaim,long,8,0.5,12,240,50,11.280231065451298,3.456914697186786,-12.0,-2.7476966761929624,0.68,33.68974742458356,-17.74943679627397,0.33482682203844794,-0.7197689345487017
L_pullback_ema_reclaim,long,35,0.25,6,120,54,5.164682461501751,-6.0,-6.0,-6.0,0.37037037037037035,23.015204655543847,-14.20233527819967,0.22440306479124417,-0.8353175384982494
L_pullback_ema_reclaim,long,35,0.25,9,240,53,8.05600018109682,-9.0,-9.0,-9.0,0.4528301886792453,35.59974961277124,-16.913870060907076,0.22629373152126803,-0.9439998189031797
