event_ts_ms,event_minute_ms,source,post_id,event_side,text
1777686446858,1777686420000,BWE_pricechange_monitor,78642,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 4.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -4.4% in the past 30 seconds 💰 市值 LAB MarketCap: 292M
1777686566505,1777686540000,BWE_pricechange_monitor,78644,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 5.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +5.5% in the past 60 seconds 💰 市值 LAB MarketCap: 292M
1777686881577,1777686840000,BWE_pricechange_monitor,78645,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.4% in the past 3 seconds 💰 市值 LAB MarketCap: 292M
1777692559657,1777692540000,BWE_pricechange_monitor,78649,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.5% in the past 3 seconds 💰 市值 LAB MarketCap: 267M
1777695283235,1777695240000,BWE_pricechange_monitor,78652,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.6% in the past 3 seconds 💰 市值 LAB MarketCap: 314M
1777695317567,1777695300000,BWE_OI_Price_monitor,13347,up,"🇨🇳 🟢 LABUSDT 币安未平仓合约量 +5.4%，过去 3600 秒价格上涨 20.2%，未平仓合约量：3920 万美元，未平仓合约量/市值比率：12.5%，24 小时价格变动：+121.5% 🇺🇸 🟢 LABUSDT Binance openinterest +5.4%, Price +20.2% in the past 3600 seconds, OI: $39.2M, OI/Marketcap ratio: 12.5%, 24H Price Change: +121.5% 💰 市值 LAB MarketCap: 314M"
1777696286335,1777696260000,BWE_pricechange_monitor,78655,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.2% in the past 10 seconds 💰 市值 LAB MarketCap: 314M
1777697139305,1777697100000,BWE_pricechange_monitor,78657,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.7% in the past 3 seconds 💰 市值 LAB MarketCap: 314M
1777698109227,1777698060000,BWE_pricechange_monitor,78659,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777698444706,1777698420000,BWE_pricechange_monitor,78660,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.9%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.9% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777698565299,1777698540000,BWE_pricechange_monitor,78661,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.8%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.8% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777698997925,1777698960000,BWE_pricechange_monitor,78662,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 3.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.2% in the past 30 seconds 💰 市值 LAB MarketCap: 365M
1777699000089,1777698960000,BWE_pricechange_monitor,78663,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 6.1%，买价：1.80644，卖价：1.80872，最新价：1.80567。 🇺🇸 Bybit.P Monitor: LABUSDT -6.1% in the past 10 seconds, bid: 1.80644, ask: 1.80872, last: 1.80567. 💰 市值 LAB MarketCap: 365M"
1777699032216,1777699020000,BWE_Reserved6,396,down,🇨🇳 🔻 LABUSDT 币安期货价格在过去 180 秒内下跌了 13.0%。 🇺🇸 🔻 LABUSDT Binance futures price dropped 13.0% in the past 180 seconds 💰 市值 LAB MarketCap: 365M
1777699118817,1777699080000,BWE_pricechange_monitor,78665,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 90 秒内下跌 5.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -5.4% in the past 90 seconds 💰 市值 LAB MarketCap: 365M
1777699238905,1777699200000,BWE_pricechange_monitor,78666,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 90 秒内上涨 6.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +6.2% in the past 90 seconds 💰 市值 LAB MarketCap: 365M
1777699367259,1777699320000,BWE_pricechange_monitor,78669,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 365M
1777699494543,1777699440000,BWE_pricechange_monitor,78671,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.2% in the past 10 seconds 💰 市值 LAB MarketCap: 365M
1777699675052,1777699620000,BWE_pricechange_monitor,78672,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 10 seconds 💰 市值 LAB MarketCap: 365M
1777699870348,1777699860000,BWE_pricechange_monitor,78673,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.2% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777699996909,1777699980000,BWE_pricechange_monitor,78674,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.1% in the past 10 seconds 💰 市值 LAB MarketCap: 365M
1777700168928,1777700160000,BWE_pricechange_monitor,78675,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.2% in the past 10 seconds 💰 市值 LAB MarketCap: 365M
1777700465131,1777700460000,BWE_pricechange_monitor,78676,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.6% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777700765502,1777700760000,BWE_pricechange_monitor,78677,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.5% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777700878605,1777700820000,BWE_Reserved6,397,up,🇨🇳 🟢 LABUSDT 币安期货价格在过去 180 秒内飙升 13.9% 🇺🇸 🟢 LABUSDT Binance futures price surged 13.9% in the past 180 seconds 💰 市值 LAB MarketCap: 365M
1777700885998,1777700880000,BWE_pricechange_monitor,78679,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.7% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777701131768,1777701120000,BWE_pricechange_monitor,78680,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777701251495,1777701240000,BWE_pricechange_monitor,78681,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 90 秒内上涨 8.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) +8.4% in the past 90 seconds 💰 市值 LAB MarketCap: 365M
1777701374412,1777701360000,BWE_pricechange_monitor,78682,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 1.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -1.6% in the past 3 seconds 💰 市值 LAB MarketCap: 365M
1777701494033,1777701480000,BWE_pricechange_monitor,78683,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 4.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) -4.7% in the past 30 seconds 💰 市值 LAB MarketCap: 365M
1777701643850,1777701600000,BWE_pricechange_monitor,78684,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777701765266,1777701720000,BWE_pricechange_monitor,78685,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 90 秒内上涨 5.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) +5.7% in the past 90 seconds 💰 市值 LAB MarketCap: 418M
1777701884973,1777701840000,BWE_pricechange_monitor,78686,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.1% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777702005153,1777701960000,BWE_pricechange_monitor,78687,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 3%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3% in the past 30 seconds 💰 市值 LAB MarketCap: 418M
1777702144096,1777702140000,BWE_pricechange_monitor,78688,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.8%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.8% in the past 3 seconds 💰 市值 LAB MarketCap: 418M
1777702270736,1777702260000,BWE_pricechange_monitor,78689,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 1.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) -1.5% in the past 3 seconds 💰 市值 LAB MarketCap: 418M
1777702391090,1777702380000,BWE_pricechange_monitor,78691,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.3% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
