channel_side,n,mean,median,p75,max,min,n_positive
*/both,297,-0.07882957575757575,-0.08,0.252993,0.252993,-0.651107,120
*/long,2382,-0.07883252392947103,-0.08,0.252993,0.252993,-0.651107,960
*/short,1786,-0.12346004255319151,-0.08,0.217159,0.217159,-0.847018,720
OI_Price/both,298,-0.12809984899328858,-0.130495,0.107425,0.107425,-0.466926,80
OI_Price/long,2292,-0.1324083232984293,-0.124748,0.056033,0.190275,-0.708372,760
OI_Price/short,2988,-0.16930054785809906,-0.142887,0.036118,0.107033,-1.030947,760
Reserved6/both,198,-0.12329359595959596,-0.082446,0.201535,0.201535,-0.878924,80
Reserved6/long,1098,-0.13296180327868853,-0.082446,0.201535,0.201535,-1.18759,440
Reserved6/short,1494,-0.17005386947791165,-0.106067,0.109166,0.129166,-1.256321,600
pricechange/both,398,-0.07771698743718594,-0.086795,0.290282,0.290282,-0.695212,160
pricechange/long,2690,-0.06671253271375466,-0.08,0.290282,0.394617,-0.992134,1080
pricechange/short,2289,-0.1372709274792486,-0.083532,0.263608,0.267755,-1.593032,920
