exit_family,n,mean,median,p75,max,n_positive
breakeven,1923,-0.09564514248569943,-0.080519,-0.08,-0.08,0
fixed,7320,0.1754687431693989,0.217159,0.252993,0.394617,6680
multi_tp,3111,-0.2755747650273224,-0.28,-0.279887,-0.093675,0
time_only,2745,-0.7307784426229508,-0.695212,-0.589436,-0.113322,0
trail,3111,-0.14962595081967214,-0.152779,-0.145567,-0.006153,0
