entry_id,archetype,channel,side,novel_dim,n_exits_tested,best_score,median_score,best_exit,best_exit_family,best_tp,best_sl,best_triggers
E126,pc_pump_taker_buy_extreme_long,pricechange,long,side_signal=pump; taker_buy_ratio_5m>=0.7,99,0.394617,-0.08,fixed_tp1_sl1_symmetric,fixed,0.51,6.0,3443
E064,pc_pump_taker_buy_dominant_long,pricechange,long,side_signal=pump; taker_buy_ratio_5m>=0.6,100,0.357179,-0.08,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,3619
E148,pc_pump_global_short_high_long,pricechange,long,side_signal=pump; global_short_ratio_high,99,0.349617,-0.08,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,988
E051,pc_high_liquidity_long,pricechange,long,liquidity_bucket=high; side_signal=pump,100,0.347159,-0.08,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,2157
E066,pc_crash_taker_buy_long,pricechange,long,side_signal=crash; taker_buy_ratio_5m>=0.55,100,0.339337,-0.08,fixed_tp1_sl1_symmetric,fixed,0.43,6.0,3684
E036,pc_first_signal_immediate_long,pricechange,long,delay_seconds=0; burst_count_5m=1; side_signal=pump,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E038,pc_first_signal_30s_long,pricechange,long,delay_seconds=30; burst_count_5m=1,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E039,pc_first_signal_1m_long,pricechange,long,delay_seconds=60; burst_count_5m=1,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E040,pc_first_signal_3m_long,pricechange,long,delay_seconds=180,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E041,pc_second_signal_cont_long,pricechange,long,burst_count_5m=2; side_signal=pump,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E046,pc_burst_seq_4plus_avoid,pricechange,both,burst_count_5m>=4,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E047,pc_pretrend_aligned_long,pricechange,long,pretrend_5m_pos; side_signal=pump,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E049,pc_pretrend_against_long,pricechange,long,pretrend_5m_pos; side_signal=crash,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E053,pc_btc_correlated_long,pricechange,long,btc_correlation_30d>=0.6; side_signal=pump,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E054,pc_low_btc_correl_long,pricechange,long,btc_correlation_30d<=0.3; side_signal=pump,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E055,pc_short_event_hold_1m_long,pricechange,long,fixed_hold_minutes=1,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E056,pc_short_event_hold_3m_long,pricechange,long,fixed_hold_minutes=3,100,0.290282,-0.08,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
