exit_family,E126,E064,E148,E051,E066,E036,E038,E039,E040,E041,E046,E047,E049,E053,E054,E055,E056,E057,E062,E067
breakeven,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800,-0.0800
fixed,+0.3946,+0.3572,+0.3496,+0.3472,+0.3393,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903,+0.2903
multi_tp,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800,-0.2800
time_only,-0.6640,-0.6685,-0.8134,-0.8258,-0.6688,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952,-0.6952
trail,-0.1278,-0.1360,-0.1195,-0.1296,-0.1403,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456,-0.1456
