sample_tier,strategies,median_sample_size,best_median_net_pct,median_p10_net_pct,positive_stress_rate_pct,future_safety_pass_rate_pct
early_alpha,19569,24.0,23.300617933273315,-1.824158988893032,78.89008125095815,100.0
exploratory_watchlist,28228,42.0,23.821711540222168,-1.824158988893032,70.5328043077795,100.0
higher_confidence_watchlist,130180,434.0,21.86616957187653,-3.2241586595773697,80.9033645721309,100.0
validated_watchlist,22023,68.0,21.8118816614151,-2.2241588681936264,64.82768015256777,100.0
