reject_reason,strategy_family,exit_family,side,entry_timing,rejected_strategies,median_sample_size,max_sample_size,best_robust_score
sample_size_lt_20,state_machine_runner,failed_continuation,short,3m,79,0.0,17,-9.992181499066948
sample_size_lt_20,premium_basis_overheat,partial_ladder,short,5m,78,0.0,19,-9.994512079401687
sample_size_lt_20,message_context_breakout,multi_tp_sl,short,5m,78,0.0,9,-10.0007
sample_size_lt_20,freshness_strict_confirmation,indicator_invalidation,long,5m,78,0.0,2,-10.001
sample_size_lt_20,liquidity_filtered_momentum,indicator_invalidation,long,3m,78,0.0,17,-10.0007
sample_size_lt_20,liquidity_filtered_momentum,indicator_invalidation,short,3m,78,0.0,12,-10.001
sample_size_lt_20,freshness_strict_confirmation,prove_or_exit,long,5m,78,0.0,6,-9.858192059606314
sample_size_lt_20,message_context_breakout,breakeven_ratchet,short,5m,77,0.0,17,-10.0007
sample_size_lt_20,message_context_breakout,multi_tp_sl,long,5m,77,0.0,18,-10.0007
sample_size_lt_20,state_machine_runner,partial_ladder,long,3m,76,0.0,19,-9.98707927313745
sample_size_lt_20,freshness_strict_confirmation,breakeven_ratchet,long,5m,75,0.0,3,-10.001
sample_size_lt_20,freshness_strict_confirmation,time_decay,long,5m,75,0.0,4,-9.985679395007342
sample_size_lt_20,state_machine_runner,trailing_stop,long,T0,75,0.0,19,-9.99135404234603
sample_size_lt_20,state_machine_runner,time_decay,long,3m,75,0.0,19,-10.001
sample_size_lt_20,state_machine_runner,runner_trail,long,T0,75,0.0,16,-9.902981006962062
sample_size_lt_20,premium_basis_overheat,multi_tp_sl,long,5m,75,0.0,18,-10.0013
sample_size_lt_20,state_machine_runner,state_machine,long,T0,75,0.0,18,-9.904791883516312
sample_size_lt_20,message_context_breakout,indicator_invalidation,long,5m,75,0.0,0,-10.0007
sample_size_lt_20,no_trade_freshness_boundary,fixed_tp_sl,short,5m,75,0.0,17,-10.001
sample_size_lt_20,liquidity_filtered_momentum,failed_continuation,long,3m,74,0.0,14,-9.886447554427386
sample_size_lt_20,oi_funding_continuation,prove_or_exit,long,T0,74,0.0,3,-9.99524024206698
median_net_lte_0,freshness_strict_confirmation,multi_tp_sl,long,5m,74,1486.0,7317,-0.0032006215059198
sample_size_lt_20,liquidity_filtered_momentum,failed_continuation,long,T0,73,0.0,11,-10.0007
sample_size_lt_20,state_machine_runner,failed_continuation,long,3m,73,0.0,17,-10.001
sample_size_lt_20,liquidity_filtered_momentum,state_machine,short,3m,72,0.0,19,-9.994320602227749
sample_size_lt_20,state_machine_runner,prove_or_exit,long,T0,72,0.0,13,-9.99554024206698
sample_size_lt_20,state_machine_runner,time_decay,short,3m,72,0.0,9,-10.001
sample_size_lt_20,freshness_strict_confirmation,state_machine,short,5m,71,0.0,1,-10.0013
sample_size_lt_20,liquidity_filtered_momentum,state_machine,short,T0,71,0.0,4,-10.0013
sample_size_lt_20,premium_basis_overheat,partial_ladder,long,5m,71,0.0,19,-10.0013
sample_size_lt_20,premium_basis_overheat,indicator_invalidation,short,5m,71,0.0,19,-9.999089257437642
sample_size_lt_20,taker_flow_reversal,time_decay,short,3m,70,0.0,0,-10.001
sample_size_lt_20,oi_funding_continuation,failed_continuation,long,T0,70,0.0,4,-9.99707443510876
sample_size_lt_20,state_machine_runner,prove_or_exit,long,3m,70,0.0,14,-9.985962050200254
sample_size_lt_20,state_machine_runner,indicator_invalidation,long,3m,70,0.0,14,-9.998607319886144
sample_size_lt_20,state_machine_runner,indicator_invalidation,long,T0,70,0.0,13,-9.901876270967724
sample_size_lt_20,state_machine_runner,partial_ladder,short,3m,70,0.0,17,-10.0013
sample_size_lt_20,freshness_strict_confirmation,prove_or_exit,short,5m,70,0.0,19,-9.98188241392076
sample_size_lt_20,liquidity_filtered_momentum,multi_tp_sl,long,3m,70,0.0,16,-9.978582033662498
median_net_lte_0,state_machine_runner,indicator_invalidation,short,3m,70,868.0,7317,-0.00434486679947
sample_size_lt_20,cross_channel_continuation,state_machine,short,T0,70,0.0,0,-10.0013
sample_size_lt_20,message_context_breakout,breakeven_ratchet,long,5m,69,0.0,2,-10.001
sample_size_lt_20,liquidity_filtered_momentum,multi_tp_sl,long,T0,69,0.0,15,-9.963507031041384
sample_size_lt_20,liquidity_filtered_momentum,trailing_stop,long,3m,69,0.0,10,-9.978231774270537
sample_size_lt_20,taker_flow_reversal,prove_or_exit,short,3m,69,0.0,0,-10.0007
sample_size_lt_20,state_machine_runner,fixed_tp_sl,short,3m,69,0.0,8,-10.0013
sample_size_lt_20,liquidity_filtered_momentum,runner_trail,short,3m,68,0.0,10,-9.93135941285491
sample_size_lt_20,freshness_strict_confirmation,runner_trail,short,5m,68,0.0,17,-10.0013
sample_size_lt_20,freshness_strict_confirmation,trailing_stop,long,5m,67,0.0,17,-9.989554362420735
sample_size_lt_20,state_machine_runner,multi_tp_sl,long,3m,67,0.0,16,-9.995829523053766
sample_size_lt_20,freshness_strict_confirmation,indicator_invalidation,short,5m,67,0.0,12,-10.0007
sample_size_lt_20,oi_funding_continuation,partial_ladder,long,T0,67,0.0,17,-9.99524024206698
sample_size_lt_20,premium_basis_overheat,fixed_tp_sl,long,5m,66,0.0,17,-10.001
sample_size_lt_20,liquidity_filtered_momentum,time_decay,long,T0,66,0.0,10,-9.985499669124186
sample_size_lt_20,premium_basis_overheat,runner_trail,long,5m,66,0.0,17,-9.974704478007554
sample_size_lt_20,message_context_breakout,runner_trail,long,5m,66,0.0,16,-10.001
sample_size_lt_20,state_machine_runner,breakeven_ratchet,long,3m,66,0.0,3,-9.983518831831962
sample_size_lt_20,oi_funding_continuation,state_machine,long,T0,66,0.0,17,-9.91388103622794
sample_size_lt_20,message_context_breakout,fixed_tp_sl,long,5m,66,0.0,10,-10.001
sample_size_lt_20,taker_flow_reversal,breakeven_ratchet,short,3m,66,0.0,0,-10.0007
sample_size_lt_20,oi_funding_continuation,time_decay,long,T0,65,0.0,3,-9.916125882476567
sample_size_lt_20,state_machine_runner,fixed_tp_sl,long,3m,65,0.0,7,-10.001
sample_size_lt_20,contrarian_crash_fade,runner_trail,long,3m,65,0.0,0,-10.0007
sample_size_lt_20,oi_funding_continuation,multi_tp_sl,long,T0,65,0.0,11,-9.987532032352686
sample_size_lt_20,liquidity_filtered_momentum,fixed_tp_sl,short,3m,65,0.0,3,-10.001
sample_size_lt_20,state_machine_runner,state_machine,short,T0,65,0.0,15,-9.960284806251526
sample_size_lt_20,liquidity_filtered_momentum,partial_ladder,long,T0,65,0.0,6,-10.0007
sample_size_lt_20,freshness_strict_confirmation,failed_continuation,long,5m,65,0.0,9,-9.994823824280251
sample_size_lt_20,message_context_breakout,trailing_stop,short,5m,65,0.0,5,-10.0007
sample_size_lt_20,freshness_strict_confirmation,fixed_tp_sl,long,5m,65,0.0,7,-9.995957033079115
sample_size_lt_20,state_machine_runner,time_decay,long,T0,65,0.0,19,-9.997296706825122
sample_size_lt_20,state_machine_runner,partial_ladder,long,T0,65,0.0,16,-9.99554024206698
sample_size_lt_20,state_machine_runner,indicator_invalidation,short,T0,65,0.0,19,-10.0007
sample_size_lt_20,liquidity_filtered_momentum,breakeven_ratchet,long,T0,64,0.0,18,-9.991801785312964
sample_size_lt_20,liquidity_filtered_momentum,trailing_stop,long,T0,64,0.0,16,-9.981921294939518
sample_size_lt_20,liquidity_filtered_momentum,fixed_tp_sl,short,T0,64,0.0,18,-9.99164706471637
median_net_lte_0,freshness_strict_confirmation,partial_ladder,short,5m,64,1746.0,5796,-0.0038968159859068
sample_size_lt_20,liquidity_filtered_momentum,prove_or_exit,long,T0,64,0.0,11,-9.842846424674988
median_net_lte_0,state_machine_runner,fixed_tp_sl,long,T0,64,347.0,1401,-0.0026776750140078
sample_size_lt_20,liquidity_filtered_momentum,state_machine,long,T0,64,0.0,9,-9.919848802581926
sample_size_lt_20,oi_funding_continuation,indicator_invalidation,long,T0,64,0.0,3,-9.901576270967722
sample_size_lt_20,state_machine_runner,trailing_stop,short,T0,64,0.0,19,-10.001
median_net_lte_0,state_machine_runner,runner_trail,short,3m,64,1348.0,7317,-0.0035746586038358
median_net_lte_0,state_machine_runner,state_machine,short,3m,63,863.0,7317,-0.0033317950469953
sample_size_lt_20,taker_flow_reversal,runner_trail,short,3m,63,0.0,0,-10.0007
sample_size_lt_20,oi_funding_continuation,trailing_stop,long,T0,63,0.0,19,-9.887533184945584
sample_size_lt_20,taker_flow_reversal,fixed_tp_sl,short,3m,63,0.0,7,-10.001
sample_size_lt_20,liquidity_filtered_momentum,indicator_invalidation,long,T0,63,0.0,13,-9.727889849317071
sample_size_lt_20,state_machine_runner,multi_tp_sl,short,3m,63,0.0,13,-9.996307917010784
median_net_lte_0,state_machine_runner,fixed_tp_sl,short,T0,63,221.0,1401,-0.0031549722625501
sample_size_lt_20,state_machine_runner,failed_continuation,short,T0,63,0.0,4,-10.0007
sample_size_lt_20,cross_channel_continuation,fixed_tp_sl,short,1m,63,0.0,4,-10.001
sample_size_lt_20,premium_basis_overheat,indicator_invalidation,long,5m,62,0.0,19,-9.992530890527368
sample_size_lt_20,state_machine_runner,state_machine,long,3m,62,0.0,19,-9.835067276656629
sample_size_lt_20,state_machine_runner,trailing_stop,short,3m,62,0.0,0,-10.0013
sample_size_lt_20,contrarian_crash_fade,breakeven_ratchet,long,3m,62,0.0,0,-10.0007
median_net_lte_0,freshness_strict_confirmation,multi_tp_sl,short,5m,62,1870.0,5796,-0.0039276398499496
sample_size_lt_20,cross_channel_continuation,indicator_invalidation,short,1m,62,0.0,8,-9.977139476922154
sample_size_lt_20,liquidity_filtered_momentum,partial_ladder,long,3m,62,0.0,19,-10.0007
sample_size_lt_20,taker_flow_reversal,multi_tp_sl,short,3m,61,0.0,14,-10.001
sample_size_lt_20,cross_channel_continuation,trailing_stop,short,1m,61,0.0,0,-10.001
sample_size_lt_20,message_context_breakout,trailing_stop,long,5m,61,0.0,11,-9.99426229044497
sample_size_lt_20,cross_channel_continuation,state_machine,long,T0,61,0.0,12,-10.0016
sample_size_lt_20,state_machine_runner,multi_tp_sl,long,T0,61,0.0,13,-9.97070703177154
median_net_lte_0,liquidity_filtered_momentum,fixed_tp_sl,short,T0,61,112.0,1087,-0.0037666270245797
sample_size_lt_20,liquidity_filtered_momentum,time_decay,short,3m,61,0.0,8,-9.998204482644482
sample_size_lt_20,premium_basis_overheat,prove_or_exit,long,5m,61,0.0,18,-9.976039814822377
median_net_lte_0,state_machine_runner,breakeven_ratchet,short,3m,61,2887.0,7317,-0.0035851747047156
median_net_lte_0,state_machine_runner,time_decay,long,T0,61,354.0,1401,-0.0030770330820232
sample_size_lt_20,message_context_breakout,partial_ladder,long,5m,61,0.0,8,-10.0007
sample_size_lt_20,freshness_strict_confirmation,breakeven_ratchet,short,5m,60,0.0,4,-10.001
sample_size_lt_20,liquidity_filtered_momentum,runner_trail,long,T0,60,0.0,13,-9.998423096649256
