strategy_id,strategy_family,channel,event_type,side,entry_timing,exit_family,horizon_min,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,stress_latency_median_net_pct,walk_forward_positive_rate_pct,top_symbol_share_pct,robust_score,stability_score,baseline_lift_median_pct,strategy_similarity_cluster_id,future_safety_pass,decision
v6_cedb2f5b8672c12966,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_49124d7e2fa728199e,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_a9b795880d342d8f5f,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_b2ee0dab49024e437d,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_d602fa9c9bfcec2c64,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_c17d7e8375afea7f42,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_87de7fad165e034791,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_a29e01e9fa7865b1fc,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_d97c5d41d1089e9806,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_f4312b9e9bf2991d94,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_787618b9f7f112059e,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_4e096b1373c9e2b985,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_86cd0ac40bd36d413f,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_4ce2e7290bb78e69da,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_a61fcb04e4e42809d8,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_ff983f7e4c0d34ac6d,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_d04f919009c30e8113,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_2e9e2f81ad3e1a9484,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_57c55ff4087b87595e,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
