strategy_id,strategy_family,channel,event_type,side,entry_timing,exit_family,horizon_min,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,stress_latency_median_net_pct,walk_forward_positive_rate_pct,top_symbol_share_pct,robust_score,stability_score,baseline_lift_median_pct,strategy_similarity_cluster_id,future_safety_pass,decision
v6_d8fdeab990cc9becca,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_355e00baa2fb32f5a2,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_ac74aa06accfe9c13b,contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_81aad5b0ee24963b30,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_40e295e48907cc8da0,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_11a83c0c8be299ecfe,contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_942c981cec351c84ae,contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_1434bff3823de704b5,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_6aba668a989691b362,contrarian_crash_fade,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
v6_6d159d28a22110db9c,premium_basis_overheat,BWE_OI_Price_monitor,pump,long,30s,breakeven_ratchet,240,321,higher_confidence_watchlist,20.179131627082825,4.213728755712509,19.910813868045807,20.0291320681572,100.0,3.4267912772585665,0.1032815521538257,0.8921219250000001,20.630861073732376,cluster_5e5279eebc,True,promote_to_round2_candidate
